,Unnamed: 0,index,h-index,h5-index,i10-index,i10-5-index,institution,name,url,n citations,n5 citations,field,gender,gender_prob,count_name
2485,2486,160,37,19,88,37,Ohio State University,Ciriyam Jayaprakash,https://scholar.google.com//citations?user=doUZifEAAAAJ&hl=en,6097,1436,1,,,
2486,2487,161,38,24,62,54,UC Davis,Sonja Dieterich,https://scholar.google.com//citations?user=uJ5gn9cAAAAJ&hl=en,6097,2453,1,female,0.99,372
2487,2488,162,37,24,87,54,,Lajos Diósi,https://scholar.google.com//citations?user=Thn34K0AAAAJ&hl=en,6095,2480,1,male,1.0,9
2488,2489,163,40,30,107,73,University Roma Tre,enzo branchini,https://scholar.google.com//citations?user=CW_k-30AAAAJ&hl=en,6090,3936,1,male,1.0,246
2489,2490,164,31,27,52,43,Griffith University,Geoff Pryde,https://scholar.google.com//citations?user=jzbYllwAAAAJ&hl=en,6098,3428,1,male,0.99,426
2490,2491,165,43,33,100,76,,Natalia Dubrovinskaia,https://scholar.google.com//citations?user=m8OeEJIAAAAJ&hl=en,6068,3513,1,female,1.0,1370
2491,2492,166,36,14,112,31,University of Delaware,Henry Glyde,https://scholar.google.com//citations?user=A-VRrzsAAAAJ&hl=en,6082,1343,1,male,1.0,1067
2492,2493,167,28,24,37,34,Tsinghua University,Shuyun Zhou,https://scholar.google.com//citations?user=ym995yYAAAAJ&hl=en,6076,3390,1,,,
2493,2494,168,43,32,99,75,Helmholtz-Zentrum Dresden-Rossendorf,Ulrich Schramm,https://scholar.google.com//citations?user=KfQy1noAAAAJ&hl=en,6075,3185,1,male,1.0,40
2494,2495,169,36,22,58,35,,John O. Kessler,https://scholar.google.com//citations?user=5dqWEZoAAAAJ&hl=en,6061,2747,1,male,0.99,9931
2495,2496,170,31,22,43,35,Central Michigan University,Veronica Barone,https://scholar.google.com//citations?user=MYs9tMUAAAAJ&hl=en,6059,2975,1,female,0.99,1075
2496,2497,171,39,17,131,33,Washington University,John W Clark,https://scholar.google.com//citations?user=PB8rB4AAAAAJ&hl=en,6089,1337,1,male,0.99,9931
2497,2498,172,40,24,82,44,University of Oregon,Hailin Wang,https://scholar.google.com//citations?user=2ThPgoQAAAAJ&hl=en,6085,2414,1,male,1.0,1
2498,2499,173,42,20,140,63,Uppsala University,Olle Björneholm,https://scholar.google.com//citations?user=1ayg91sAAAAJ&hl=en,6057,1871,1,male,1.0,43
2499,2500,174,37,30,66,54,Clemson University,Sumanta Tewari,https://scholar.google.com//citations?user=oA9OQ5IAAAAJ&hl=en,6057,4316,1,male,1.0,2
2500,2501,175,38,27,77,52,Suranaree University of Technology,Sukit Limpijumnong,https://scholar.google.com//citations?user=t_QvsBAAAAAJ&hl=en,6056,2533,1,male,1.0,3
2501,2502,176,29,25,41,35,RWTH Aachen University,Priv.-Doz. Dr. Malgorzata Worek,https://scholar.google.com//citations?user=jEQLiH4AAAAJ&hl=en,6046,3644,1,,,
2502,2503,177,45,25,118,64,Universität Würzburg,Ralph Claessen,https://scholar.google.com//citations?user=t8wpk5sAAAAJ&hl=en,6041,2475,1,male,1.0,314
2503,2504,178,36,20,87,27,Wichita State University,"Nickolas Solomey, Professor of Physics",https://scholar.google.com//citations?user=Mo43it8AAAAJ&hl=en,6041,1499,1,,,
2504,2505,179,45,26,144,85,Polytechnique Montreal,Jolanta Klemberg-Sapieha,https://scholar.google.com//citations?user=zaMWMLwAAAAJ&hl=en,6033,2496,1,female,1.0,29
2505,2506,180,34,24,135,73,,Sant Kumar,https://scholar.google.com//citations?user=DPjKGwkAAAAJ&hl=en,6030,3601,1,male,0.75,4
2506,2507,181,31,25,45,37,University of California at Irvine,Thorsten Ritz,https://scholar.google.com//citations?user=oeKECzsAAAAJ&hl=en,6028,2689,1,male,1.0,32
2507,2508,182,44,19,97,38,Rochester Institute of Technology,Joel Kastner,https://scholar.google.com//citations?user=4kQWfogAAAAJ&hl=en,6026,1443,1,male,0.99,1468
2508,2509,183,25,18,35,30,Hebrew University at Jerusalem,H.S. Eisenberg,https://scholar.google.com//citations?user=hoaRYs8AAAAJ&hl=en,6014,1680,1,,,
2509,2510,184,41,21,121,56,Institute of Physics,Y.REZNIKOV,https://scholar.google.com//citations?user=D3p2pycAAAAJ&hl=en,6009,2269,1,,,
2510,2511,185,27,24,39,35,University of Vienna,Philip Walther,https://scholar.google.com//citations?user=NqWGYXwAAAAJ&hl=en,6008,3405,1,male,1.0,1097
2511,2512,186,37,36,70,61,Johns Hopkins University,Tobias Marriage,https://scholar.google.com//citations?user=aLmLpV8AAAAJ&hl=en,6000,4563,1,male,1.0,352
2512,2513,187,40,34,103,88,"Max Planck Institute of Microstructure Physics, Halle",Arthur Ernst,https://scholar.google.com//citations?user=VcP_QUAAAAAJ&hl=en,6021,3969,1,male,0.98,547
2513,2514,188,39,30,185,123,IIT Kharagpur,Samit K Ray,https://scholar.google.com//citations?user=O4WvnJ4AAAAJ&hl=en,6019,3576,1,male,1.0,9
2514,2515,189,41,29,124,74,LBNL,Peter Fischer,https://scholar.google.com//citations?user=gsE1VKUAAAAJ&hl=en,5995,3409,1,male,1.0,4373
2515,2516,190,36,21,64,41,seoul national university,doochul kim,https://scholar.google.com//citations?user=tHAXzrYAAAAJ&hl=en,5989,2057,1,,,
2516,2517,191,29,16,53,24,,Sergey Kravchenko,https://scholar.google.com//citations?user=qdKqUSwAAAAJ&hl=en,5983,1204,1,male,0.99,117
2517,2518,192,43,34,103,81,Univ. of Liverpool,Tim Veal,https://scholar.google.com//citations?user=PZtoLyoAAAAJ&hl=en,5982,3354,1,male,0.99,2949
2518,2519,193,40,34,103,88,Johannes Kepler University Linz,Arthur Ernst,https://scholar.google.com//citations?user=x-AlfVYAAAAJ&hl=en,5994,3945,1,male,0.98,547
2519,2520,194,37,23,76,37,Texas A&M University,Olga Kocharovskaya,https://scholar.google.com//citations?user=17Q34LgAAAAJ&hl=en,5982,1450,1,female,1.0,898
2520,2521,195,44,26,129,69,University of Mainz,Hans-Joachim Elmers,https://scholar.google.com//citations?user=3horsuMAAAAJ&hl=en,5978,2218,1,male,1.0,1
2521,2522,196,32,23,66,40,,Alexander M. Tishin,https://scholar.google.com//citations?user=pob5ytEAAAAJ&hl=en,5989,2854,1,male,1.0,1645
2522,2523,197,45,38,140,132,Shivaji University,Keshav Rajpure,https://scholar.google.com//citations?user=JwinuMAAAAAJ&hl=en,5976,4665,1,male,1.0,20
2523,2524,198,46,30,142,87,University of Valencia,Alfredo Segura,https://scholar.google.com//citations?user=dvnY5IkAAAAJ&hl=en,5975,3028,1,male,1.0,687
2524,2525,199,34,32,72,59,University Colorado Boulder,Noah Finkelstein,https://scholar.google.com//citations?user=VLRQEbgAAAAJ&hl=en,5973,4194,1,male,0.98,309
2525,2526,200,39,32,87,77,"Institute of Physics, Chinese Academy of Sciences",Shixuan Du,https://scholar.google.com//citations?user=xgXsRW8AAAAJ&hl=en,5970,4468,1,,,
2526,2527,201,31,23,53,39,NRNU MEPhI,Nikolay Narozhny,https://scholar.google.com//citations?user=uz2UlsMAAAAJ&hl=en,5966,2160,1,male,1.0,47
2527,2528,202,41,31,112,91,Lomonosov Moscow State University,Vasily E. Tarasov,https://scholar.google.com//citations?user=sfFN5B4AAAAJ&hl=en,5966,4040,1,male,1.0,4
2528,2529,203,43,39,79,73,University of St Andrews,Phil D C King,https://scholar.google.com//citations?user=kpCeaGMAAAAJ&hl=en,5965,4577,1,male,0.99,1012
2529,2530,204,39,33,79,66,National Technical University of Athens,"Alexandros Georgakilas, PhD. Associate Professor",https://scholar.google.com//citations?user=MAD6KTcAAAAJ&hl=en,5959,4492,1,,,
2530,2531,205,37,32,124,94,,Guangwen Chen,https://scholar.google.com//citations?user=3-ONqEQAAAAJ&hl=en,5957,3882,1,,,
2531,2532,206,44,30,95,61,University of Pisa,Massimo D'Elia,https://scholar.google.com//citations?user=cDEZMDQAAAAJ&hl=en,5955,2583,1,male,1.0,492
2532,2533,207,29,18,76,33,Victoria University of Wellington,John Lekner,https://scholar.google.com//citations?user=HEId_QwAAAAJ&hl=en,5955,1394,1,male,0.99,9931
2533,2534,208,38,21,165,63,,Deepak Mathur,https://scholar.google.com//citations?user=mn0QVkcAAAAJ&hl=en,5954,1765,1,male,1.0,335
2534,2535,209,42,31,104,75,University of Delaware,Marianna Safronova,https://scholar.google.com//citations?user=NPh3nA8AAAAJ&hl=en,5954,3545,1,female,1.0,199
2535,2536,210,44,33,100,87,University of Freiburg,Joe Dzubiella,https://scholar.google.com//citations?user=dx0C5pYAAAAJ&hl=en,5954,4158,1,male,0.99,3679
2536,2537,211,32,20,123,53,"University of São Paulo, São Paulo",Dmitri Maximovitch Gitman,https://scholar.google.com//citations?user=iy8PMJ4AAAAJ&hl=en,5952,2166,1,male,1.0,21
2537,2538,212,40,14,81,20,,Carl H Gibson,https://scholar.google.com//citations?user=okF0KZ0AAAAJ&hl=en,5948,978,1,male,1.0,929
2538,2539,213,40,29,118,81,,Narayana Rao Desai,https://scholar.google.com//citations?user=OseLZBsAAAAJ&hl=en,5950,3082,1,male,1.0,4
2539,2540,214,36,24,53,40,,Mina Aganagic,https://scholar.google.com//citations?user=WuBmzsQAAAAJ&hl=en,5946,2051,1,female,0.6,330
2540,2541,215,36,31,109,93,,Jun Yang,https://scholar.google.com//citations?user=9pV0648AAAAJ&hl=en,5948,3950,1,male,0.94,189
2541,2542,216,38,27,163,98,,P.P.Fedorov,https://scholar.google.com//citations?user=hDpoRzAAAAAJ&hl=en,5947,3199,1,,,
2542,2543,217,36,30,112,82,,Abdel Moneim A Ibrahim,https://scholar.google.com//citations?user=OVDOyfwAAAAJ&hl=en,5946,4186,1,male,1.0,84
2543,2544,218,43,19,140,39,Vrije Universiteit Amsterdam,Steven Stolte,https://scholar.google.com//citations?user=6bQ483cAAAAJ&hl=en,5943,1369,1,male,1.0,2600
2544,2545,219,36,15,78,23,University of Wuerzburg,Haye Hinrichsen,https://scholar.google.com//citations?user=2gcjOLEAAAAJ&hl=en,5940,1974,1,,,
2545,2546,220,43,28,96,70,Medical University of Innsbruck,Monika Ritsch-Marte,https://scholar.google.com//citations?user=attixk4AAAAJ&hl=en,5939,3233,1,female,1.0,577
2546,2547,221,46,40,85,82,,Xianfeng Li,https://scholar.google.com//citations?user=Wc8abWMAAAAJ&hl=en,5938,4488,1,,,
2547,2548,222,33,22,69,36,National Taiwan University,Tzihong Chiueh,https://scholar.google.com//citations?user=YQPSOg8AAAAJ&hl=en,5925,1983,1,,,
2548,2549,223,38,26,71,41,Boston University,David F. Coker,https://scholar.google.com//citations?user=1JLXzp0AAAAJ&hl=en,5924,2591,1,male,1.0,12593
2549,2550,224,33,22,69,36,National Taiwan University,Tzihong Chiueh,https://scholar.google.com//citations?user=xYx6-n0AAAAJ&hl=en,5925,1983,1,,,
2550,2551,225,41,36,125,121,Ludwig-Maximilians-Universität München,Katia Parodi,https://scholar.google.com//citations?user=HB_intIAAAAJ&hl=en,5936,4324,1,female,1.0,419
2551,2552,226,46,39,119,91,Lawrence Livermore National Laboratory,Nathan Meezan,https://scholar.google.com//citations?user=1ljdGCMAAAAJ&hl=en,5921,4269,1,male,1.0,1632
2552,2553,227,35,19,61,46,UIUC,D. H. Beck,https://scholar.google.com//citations?user=L_eMOhIAAAAJ&hl=en,5920,1869,1,,,
2553,2554,228,37,28,79,57,Peking University,Lun Dai,https://scholar.google.com//citations?user=356i4y8AAAAJ&hl=en,5917,4048,1,male,1.0,7
2554,2555,229,42,23,112,55,Université de Montpellier,Pierre Lefebvre,https://scholar.google.com//citations?user=YuoEELIAAAAJ&hl=en,5933,1798,1,male,0.99,852
2555,2556,230,24,13,45,19,Franklin & Marshall College,Gregory Adkins,https://scholar.google.com//citations?user=ugActr8AAAAJ&hl=en,5916,868,1,male,1.0,721
2556,2557,231,30,26,46,42,Keio University,Kazuya Ando,https://scholar.google.com//citations?user=NjcBuuwAAAAJ&hl=en,5890,4765,1,male,1.0,4
2557,2558,232,39,27,72,60,University of Twente,Jennifer L. Herek,https://scholar.google.com//citations?user=EB4ofjQAAAAJ&hl=en,5888,2105,1,female,1.0,6717
2558,2559,233,24,13,39,16,Comenius University in Bratislava,Peter Markoš,https://scholar.google.com//citations?user=NKyxb9sAAAAJ&hl=en,5898,2165,1,male,1.0,4373
2559,2560,234,28,28,44,43,,Chi-Cheng LEE,https://scholar.google.com//citations?user=VpBUo30AAAAJ&hl=en,5897,5525,1,,,
2560,2561,235,36,30,69,59,University of Munich,Lode Pollet,https://scholar.google.com//citations?user=XKhOtoEAAAAJ&hl=en,5915,3614,1,male,1.0,5
2561,2562,236,40,16,117,33,Heriot-Watt University,c r pidgeon,https://scholar.google.com//citations?user=pqLp2yMAAAAJ&hl=en,5894,963,1,male,0.74,27
2562,2563,237,40,35,71,64,University of Rochester,John Howell,https://scholar.google.com//citations?user=2pSQfFoAAAAJ&hl=en,5888,3516,1,male,0.99,9931
2563,2564,238,41,28,84,65,UNLV,Daniel Proga,https://scholar.google.com//citations?user=eNUGxCcAAAAJ&hl=en,5874,2748,1,male,1.0,8180
2564,2565,239,41,23,116,47,,"Kattesh V. Katti MSc.Ed, PhD, DSc, FRSC, FNAI",https://scholar.google.com//citations?user=k3Jll3UAAAAJ&hl=en,5878,2169,1,,,
2565,2566,240,28,21,46,26,Bogolyubov Institute for Theoretical Physics,Sergei G. Sharapov,https://scholar.google.com//citations?user=n0XL1y8AAAAJ&hl=en,5887,2898,1,male,0.97,38
2566,2567,241,45,31,75,61,Perimeter Institute for Theoretical Physics,Erik Schnetter,https://scholar.google.com//citations?user=1AZtnFgAAAAJ&hl=en,5876,3132,1,male,0.99,1072
2567,2568,242,37,17,84,25,,Robert Owens,https://scholar.google.com//citations?user=jhgENnMAAAAJ&hl=en,5875,1037,1,male,1.0,5222
2568,2569,243,43,28,139,86,,Marc Descamps,https://scholar.google.com//citations?user=rsXwYUoAAAAJ&hl=en,5870,2754,1,male,1.0,1555
2569,2570,244,43,29,105,66,University of Toronto,George William Kent Moore,https://scholar.google.com//citations?user=l_eZf-YAAAAJ&hl=en,5886,3044,1,male,0.99,2098
2570,2571,245,32,30,43,39,Australian National University,Manuel Decker,https://scholar.google.com//citations?user=KGtnLIgAAAAJ&hl=en,5869,4807,1,male,1.0,1954
2571,2572,246,36,31,46,44,University of Colorado,Thomas M McCollom,https://scholar.google.com//citations?user=zYtQslsAAAAJ&hl=en,5864,3051,1,male,1.0,3753
2572,2573,247,43,28,111,57,Universite Paris-Sud XI,Vincent Rivasseau,https://scholar.google.com//citations?user=4Nnh1t8AAAAJ&hl=en,5863,2798,1,male,1.0,1424
2573,2574,248,35,26,97,56,Institute of Atmospheric Physics,Yongqiang Yu (俞永强),https://scholar.google.com//citations?user=JOy_S68AAAAJ&hl=en,5858,3140,1,,,
2574,2575,249,38,21,115,49,Institute of Nuclear Physics,krzysztof parlinski,https://scholar.google.com//citations?user=fmsEtO4AAAAJ&hl=en,5855,2414,1,male,1.0,96
2575,2576,250,39,29,82,61,Hong Kong Polytechnic University,Yizhu Xie,https://scholar.google.com//citations?user=HXO-pqAAAAAJ&hl=en,5851,3288,1,,,
2576,2577,251,33,23,51,37,Brown University,Domenico Pacifici,https://scholar.google.com//citations?user=0dIcJFwAAAAJ&hl=en,5850,2268,1,male,1.0,220
2577,2578,252,42,19,134,46,Florida State University,Per Arne Rikvold,https://scholar.google.com//citations?user=a9QjqZ8AAAAJ&hl=en,5842,1336,1,male,0.98,248
2578,2579,253,36,22,66,41,Michigan State University,Norman O. Birge,https://scholar.google.com//citations?user=4SdI-a0AAAAJ&hl=en,5841,1724,1,male,1.0,243
2579,2580,254,31,28,39,35,Institute of Physics,Ignacy Sawicki,https://scholar.google.com//citations?user=kDI4Eo8AAAAJ&hl=en,5836,4069,1,,,
2580,2581,255,39,22,95,42,University of Miami,Rafael I. Nepomechie,https://scholar.google.com//citations?user=TW2fOsEAAAAJ&hl=en,5835,2159,1,male,1.0,1245
2581,2582,256,27,23,38,35,"Institute of Physics, Chinese Academy of Sciences",Gang Li (李岗),https://scholar.google.com//citations?user=USr66woAAAAJ&hl=en,5834,2275,1,male,1.0,5
2582,2583,257,40,17,76,29,,Arnel Salvador,https://scholar.google.com//citations?user=hCcJGl0AAAAJ&hl=en,5841,921,1,male,0.97,32
2583,2584,258,27,19,61,32,Oxford University,Victor M. Burlakov,https://scholar.google.com//citations?user=KxpV6PsAAAAJ&hl=en,5830,4756,1,male,1.0,2234
2584,2585,259,37,32,96,73,JNCASR,Sundaresan Athinarayanan,https://scholar.google.com//citations?user=Up7IW3QAAAAJ&hl=en,5829,3772,1,male,1.0,11
2585,2586,260,42,27,110,59,Politecnico di Milano,Carlo Enrico Bottani,https://scholar.google.com//citations?user=s_lTIxQAAAAJ&hl=en,5829,2453,1,male,0.99,423
2586,2587,261,14,12,15,12,Stanford University,Erhan Yenilmez,https://scholar.google.com//citations?user=NLbg-tAAAAAJ&hl=en,5836,1538,1,male,1.0,195
2587,2588,262,40,34,60,54,University of Oslo,Torsten Bringmann,https://scholar.google.com//citations?user=5R5zIG8AAAAJ&hl=en,5803,4066,1,male,1.0,93
2588,2589,263,36,32,56,55,Max Planck Institute for Extraterrestrial Physics,Dr. Julia L. Zimmermann,https://scholar.google.com//citations?user=UEea7JIAAAAJ&hl=en,5828,4905,1,female,0.99,2152
2589,2590,264,33,12,121,20,University of Florida,John Sabin,https://scholar.google.com//citations?user=ixDg5I4AAAAJ&hl=en,5827,1233,1,male,0.99,9931
2590,2591,265,33,21,64,41,National and Kapodistrian University of Athens,Despina Hatzidimitriou,https://scholar.google.com//citations?user=SuFM7OQAAAAJ&hl=en,5818,3791,1,female,0.96,27
2591,2592,266,40,33,65,60,"Max Planck Institute for the Physics of Complex Systems, Dresden",Thomas Pohl,https://scholar.google.com//citations?user=6C_cUawAAAAJ&hl=en,5815,4374,1,male,1.0,3753
2592,2593,267,43,36,104,93,University of Graz,Manuela Temmer,https://scholar.google.com//citations?user=qkOyxPwAAAAJ&hl=en,5811,3905,1,female,1.0,460
2593,2594,268,41,20,74,38,University of Amsterdam,Kareljan Schoutens,https://scholar.google.com//citations?user=CP9-NewAAAAJ&hl=en,5807,1359,1,,,
2594,2595,269,39,35,66,59,Wake Forest University,Timo Thonhauser,https://scholar.google.com//citations?user=h91qfB8AAAAJ&hl=en,5801,4196,1,male,1.0,140
2595,2596,270,41,17,66,27,Colgate University,Thomas J. Balonek,https://scholar.google.com//citations?user=thJSA0gAAAAJ&hl=en,5787,1360,1,male,1.0,3753
2596,2597,271,38,20,113,52,Max-Planck-Institute for Solar System Research,Jörg Büchner,https://scholar.google.com//citations?user=UvtK4_gAAAAJ&hl=en,5782,1678,1,male,1.0,53
2597,2598,272,30,14,57,16,California State University Long Beach,Chuhee Kwon,https://scholar.google.com//citations?user=4Kwuoi0AAAAJ&hl=en,5779,1081,1,,,
2598,2599,273,24,20,32,26,Hong Kong University of Science and Technology,Zhi Yu Yang,https://scholar.google.com//citations?user=N1Jq_oMAAAAJ&hl=en,5775,4374,1,male,0.73,26
2599,2600,274,40,38,79,75,Fudan University,Faxian Xiu,https://scholar.google.com//citations?user=0QMB9ZUAAAAJ&hl=en,5774,4022,1,,,
2600,2601,275,8,8,8,8,Lund University,Marcelo J P Alcocer,https://scholar.google.com//citations?user=MylcONgAAAAJ&hl=en,5773,5753,1,male,1.0,810
2601,2602,276,40,27,113,76,Queen's University,Stephen Hughes,https://scholar.google.com//citations?user=ehh7vv0AAAAJ&hl=en,5768,3003,1,male,1.0,2608
2602,2603,277,37,30,73,62,McGill University,Paul W Wiseman,https://scholar.google.com//citations?user=0XdoWQIAAAAJ&hl=en,5786,3034,1,male,1.0,5931
2603,2604,278,39,24,106,56,,Saverio Pascazio,https://scholar.google.com//citations?user=FxS1YUcAAAAJ&hl=en,5767,2303,1,male,0.98,48
2604,2605,279,35,29,76,67,University of Münster,Rudolf Bratschitsch,https://scholar.google.com//citations?user=NmHq7QUAAAAJ&hl=en,5763,4310,1,male,0.97,63
2605,2606,280,45,25,119,75,University of Viena,Chrusciel Piotr,https://scholar.google.com//citations?user=7OFM2akAAAAJ&hl=en,5762,2370,1,,,
2606,2607,281,41,19,96,38,University of Tokyo,Yukio Hasegawa,https://scholar.google.com//citations?user=v8whu64AAAAJ&hl=en,5762,1612,1,male,1.0,7
2607,2608,282,27,23,41,34,Stockholm University,Markus Hennrich,https://scholar.google.com//citations?user=zpCcvfMAAAAJ&hl=en,5755,3592,1,male,1.0,412
2608,2609,283,44,35,91,77,Oakland University,Vasyl Tyberkevych,https://scholar.google.com//citations?user=FGrS2ZAAAAAJ&hl=en,5763,3979,1,,,
2609,2610,284,29,29,53,51,National Cheng Kung University,Tay-Rong Chang (張泰榕),https://scholar.google.com//citations?user=poTBYtAAAAAJ&hl=en,5763,5732,1,,,
2610,2611,285,35,25,163,105,Institute of Physics,Suresh Kumar Patra,https://scholar.google.com//citations?user=7DOurpIAAAAJ&hl=en,5760,3331,1,male,0.99,154
2611,2612,286,37,27,78,59,University of Regensburg,John Schliemann,https://scholar.google.com//citations?user=kReTO58AAAAJ&hl=en,5754,2294,1,male,0.99,9931
2612,2613,287,25,25,39,38,University of Stuttgart,Mario Hentschel,https://scholar.google.com//citations?user=30PCLHQAAAAJ&hl=en,5750,5027,1,male,0.99,2026
2613,2614,288,38,24,118,59,The College of New Jersey,Paul Wiita,https://scholar.google.com//citations?user=NDZG-esAAAAJ&hl=en,5749,1975,1,male,1.0,5931
2614,2615,289,40,25,115,67,Loughborough University,"Sergey E Savel'ev, Professor of Theoretical Physics, Associate Dean Research, APS and IOP Fellow",https://scholar.google.com//citations?user=6eXz_IIAAAAJ&hl=en,5742,2599,1,,,
2615,2616,290,25,16,49,23,Swansea University,dave dunbar,https://scholar.google.com//citations?user=EWkfv24AAAAJ&hl=en,5753,1596,1,male,1.0,2605
2616,2617,291,42,38,88,88,Georgia Tech,Dirk Lennarz,https://scholar.google.com//citations?user=OV461yEAAAAJ&hl=en,5753,4688,1,male,1.0,213
2617,2618,292,41,17,109,53,,Mario Salerno,https://scholar.google.com//citations?user=683RcnIAAAAJ&hl=en,5752,1435,1,male,0.99,2026
2618,2619,293,33,22,73,37,University of Gdansk,Robert Alicki,https://scholar.google.com//citations?user=diw_DmQAAAAJ&hl=en,5740,2598,1,male,1.0,5222
2619,2620,294,41,29,77,55,Edinburgh University,Peter Boyle,https://scholar.google.com//citations?user=4PNYl4AAAAAJ&hl=en,5737,3076,1,male,1.0,4373
2620,2621,295,40,21,77,44,University of California San Diego,Dan Dubin,https://scholar.google.com//citations?user=9ViPIeEAAAAJ&hl=en,5736,1724,1,male,0.98,3240
2621,2622,296,37,26,93,58,University of Twente,Bernard J. Geurts,https://scholar.google.com//citations?user=CcQ48twAAAAJ&hl=en,5731,2173,1,male,1.0,397
2622,2623,297,36,27,53,36,,Irene Giardina,https://scholar.google.com//citations?user=lPBjU44AAAAJ&hl=en,5735,3507,1,female,1.0,1300
2623,2624,298,38,27,82,58,Dublin City University,Colette McDonagh,https://scholar.google.com//citations?user=fobMR5UAAAAJ&hl=en,5734,2584,1,female,1.0,209
2624,2625,299,42,28,125,84,Technische Universität Dresden,Jens Uwe Sommer,https://scholar.google.com//citations?user=ZyejzqgAAAAJ&hl=en,5732,2899,1,male,1.0,292
2625,2626,300,37,27,55,37,UC Davis,Veronika Hubeny,https://scholar.google.com//citations?user=sQxFuFIAAAAJ&hl=en,5730,3302,1,female,1.0,286
2626,2627,301,37,20,100,47,Seoul National University,Wonho Jhe,https://scholar.google.com//citations?user=z_c9ABQAAAAJ&hl=en,5729,1534,1,,,
2627,2628,302,37,19,56,35,East Carolina University,Zi-Wei Lin,https://scholar.google.com//citations?user=zYUdCpwAAAAJ&hl=en,5724,2236,1,,,
2628,2629,303,38,18,75,35,,Vladimir Usov,https://scholar.google.com//citations?user=yH14JM4AAAAJ&hl=en,5721,1408,1,male,1.0,299
2629,2630,304,30,21,59,37,Pusan National University,Bog Kim,https://scholar.google.com//citations?user=X21HmKkAAAAJ&hl=en,5713,2429,1,male,1.0,3
2630,2631,305,37,20,124,29,,Chung-Hsiung Wu,https://scholar.google.com//citations?user=CtQP3cMAAAAJ&hl=en,5724,1795,1,,,
2631,2632,306,38,20,161,60,Aarhus University,Arne Nylandsted Larsen,https://scholar.google.com//citations?user=uMGLLfEAAAAJ&hl=en,5718,1838,1,male,1.0,110
2632,2633,307,38,30,129,97,"""Aristotle University of Thessaloniki","""K.M. Paraskevopoulos"" OR ""Paraskevopoulos K.M."" OR ""K. Paraskevopoulos"" OR ""Paraskevopoulos K.""",https://scholar.google.com//citations?user=3MZ06NQAAAAJ&hl=en,5716,3594,1,female,0.58,84
2633,2634,308,38,17,70,24,Tel Aviv University,Yacov Kantor,https://scholar.google.com//citations?user=LeoSUPIAAAAJ&hl=en,5715,966,1,male,1.0,2
2634,2635,309,37,28,61,54,Johns Hopkins University,N. Peter Armitage,https://scholar.google.com//citations?user=hE4zgYIAAAAJ&hl=en,5712,2989,1,,,
2635,2636,310,41,19,88,39,University of Strathclyde,Gian-Luca Oppo,https://scholar.google.com//citations?user=smXXUe0AAAAJ&hl=en,5712,1439,1,male,1.0,5
2636,2637,311,41,22,96,48,University of Alberta,Mark Freeman,https://scholar.google.com//citations?user=SwENSF0AAAAJ&hl=en,5712,1983,1,male,1.0,6176
2637,2638,312,38,29,71,64,ICTP,Adrian M Tompkins,https://scholar.google.com//citations?user=I_JhTO0AAAAJ&hl=en,5707,3100,1,male,0.97,1515
2638,2639,313,43,30,97,61,Kobe University,Jiro Soda,https://scholar.google.com//citations?user=Dns0LtAAAAAJ&hl=en,5706,2599,1,male,1.0,12
2639,2640,314,35,25,66,50,Southern Illinois University Carbondale,Saikat Talapatra,https://scholar.google.com//citations?user=ewd4mc8AAAAJ&hl=en,5704,3156,1,male,1.0,4
2640,2641,315,36,26,68,56,University of Technology Sydney,David McGloin,https://scholar.google.com//citations?user=Hi_vWzwAAAAJ&hl=en,5702,2868,1,male,1.0,12593
2641,2642,316,26,26,31,31,Stanford University,Amir Safavi-Naeini,https://scholar.google.com//citations?user=QviK0DEAAAAJ&hl=en,5699,5034,1,male,1.0,508
2642,2643,317,39,29,132,82,University of Leeds,Christopher Marrows,https://scholar.google.com//citations?user=UwFdtuQAAAAJ&hl=en,5695,3314,1,male,1.0,2339
2643,2644,318,41,21,133,44,,Hans-Jürgen Korsch,https://scholar.google.com//citations?user=SqQAFewAAAAJ&hl=en,5697,1620,1,male,1.0,3
2644,2645,319,40,25,140,72,University of Innsbruck,michael probst,https://scholar.google.com//citations?user=4VPpPAYAAAAJ&hl=en,5683,2190,1,male,1.0,11094
2645,2646,320,42,35,92,75,UNIST,Noejung PARK,https://scholar.google.com//citations?user=fOHVhBgAAAAJ&hl=en,5680,4075,1,,,
2646,2647,321,38,32,67,60,Saint Michael's College,John O'Meara,https://scholar.google.com//citations?user=hnpb8SgAAAAJ&hl=en,5673,3437,1,male,0.99,9931
2647,2648,322,48,39,122,115,,Alex Chroneos,https://scholar.google.com//citations?user=-EzNuw4AAAAJ&hl=en,5671,4383,1,male,0.87,5856
2648,2649,323,31,28,71,55,,Kehui Wu,https://scholar.google.com//citations?user=7-ChpWsAAAAJ&hl=en,5669,4812,1,,,
2649,2650,324,36,22,78,46,New Jersey Institute of Technology,John Federici,https://scholar.google.com//citations?user=N0tH-6AAAAAJ&hl=en,5664,2709,1,male,0.99,9931
2650,2651,325,33,26,72,52,Leibniz Universität Hannover,Manfred Lein,https://scholar.google.com//citations?user=C2HJKfwAAAAJ&hl=en,5664,2501,1,male,1.0,39
